,Movie,gender,tropes
0,The Phantom Menace,he,backs
1,The Phantom Menace,he,is
2,The Phantom Menace,he,has
3,The Phantom Menace,he,passes
4,The Phantom Menace,he,faints
5,The Phantom Menace,he,sees
6,The Phantom Menace,he,is
7,The Phantom Menace,he,is
8,The Phantom Menace,he,lets
9,The Phantom Menace,he,lifts
10,The Phantom Menace,he,frightened
11,The Phantom Menace,he,is
12,The Phantom Menace,he,has
13,The Phantom Menace,he,gets
14,The Phantom Menace,he,is
15,The Phantom Menace,he,stands
16,The Phantom Menace,he,struggles
17,The Phantom Menace,he,watches
18,The Phantom Menace,he,looks
19,The Phantom Menace,he,smiles
20,The Phantom Menace,he,drops
21,The Phantom Menace,he,rushes
22,The Phantom Menace,he,turns
23,The Phantom Menace,he,is
24,The Phantom Menace,he,studies
25,The Phantom Menace,he,puts
26,The Phantom Menace,he,picks
27,The Phantom Menace,he,is
28,The Phantom Menace,he,looks
29,The Phantom Menace,he,sleeps
30,The Phantom Menace,he,leaves
31,The Phantom Menace,he,looks
32,The Phantom Menace,he,enters
33,The Phantom Menace,he,zooms
34,The Phantom Menace,he,then
35,The Phantom Menace,he,sails
36,The Phantom Menace,he,is
37,The Phantom Menace,he,opens
38,The Phantom Menace,he,goes
39,The Phantom Menace,he,catches
40,The Phantom Menace,he,hits
41,The Phantom Menace,he,stay
42,The Phantom Menace,he,is
43,The Phantom Menace,he,usually
44,The Phantom Menace,he,crashes
45,The Phantom Menace,he,slides
46,The Phantom Menace,he,realizes
47,The Phantom Menace,he,struggles
48,The Phantom Menace,he,leaves
49,The Phantom Menace,he,stops
50,The Phantom Menace,he,rushes
51,The Phantom Menace,he,and
52,The Phantom Menace,he,turns
53,The Phantom Menace,he,is
54,The Phantom Menace,he,marches
55,The Phantom Menace,he,is
56,The Phantom Menace,he,marches
57,The Phantom Menace,he,ignites
58,The Phantom Menace,he,has
59,The Phantom Menace,he,rests
60,The Phantom Menace,he,looks
61,The Phantom Menace,he,is
62,The Phantom Menace,he,nods
63,The Phantom Menace,he,stops
